,uuid,title,description,station,station_code,show_priority,show_times,since,till
774,0656d167-5f1f-30ae-9f9f-fe093d13d366,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-14 14:06:00+02:00,2023-06-14 15:00:00+02:00
775,82413802-0186-377d-942f-4c9b14b28cc4,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-14 15:06:00+02:00,2023-06-14 16:00:00+02:00
776,a9ea5da3-f25c-3b2c-b164-e141328f1caf,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-14 16:06:00+02:00,2023-06-14 17:00:00+02:00
777,84896616-c2d2-3ea1-9915-faf0c08ecac3,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-14 17:06:00+02:00,2023-06-14 18:00:00+02:00
778,93fd32d9-057e-3a92-a8f3-ac7122f9a641,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-14 18:33:30+02:00,2023-06-14 19:00:00+02:00
779,3165e331-5846-3a4f-b3be-4594ad5954cb,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-14 19:06:00+02:00,2023-06-14 20:00:00+02:00
780,2b904b9b-6b19-3cf0-b0ab-948947415c47,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-15 13:06:00+02:00,2023-06-15 14:00:00+02:00
781,f8618895-a997-3df6-9856-66dd7a2e705c,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-15 14:06:00+02:00,2023-06-15 15:00:00+02:00
782,8dc0f07a-a807-375b-858c-770a6a846008,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-15 15:06:00+02:00,2023-06-15 16:00:00+02:00
783,47f5bc91-11a0-30c0-84f9-2ea35cbb5918,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Zuzana Burešová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-15 16:06:00+02:00,2023-06-15 17:00:00+02:00
784,8243501b-bc77-3978-bf3f-8f694db4f367,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Zuzana Burešová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-15 17:06:00+02:00,2023-06-15 18:00:00+02:00
785,bf47f1ce-2e95-39df-8908-e5eccfc53eb2,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Zuzana Burešová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-15 18:33:30+02:00,2023-06-15 19:00:00+02:00
786,0456732d-25c1-3886-8be1-226bf8932a6c,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Zuzana Burešová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-15 19:06:00+02:00,2023-06-15 20:00:00+02:00
787,db968b2d-cbdc-3998-8426-49b4ee9a971c,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-16 13:06:00+02:00,2023-06-16 14:00:00+02:00
788,cfe13634-0465-36fd-8a27-5e04e7e5c4eb,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-16 14:06:00+02:00,2023-06-16 15:00:00+02:00
789,f32d8c4b-0343-3990-b57d-673465c24f52,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-16 15:06:00+02:00,2023-06-16 16:00:00+02:00
